dispute_id,old_category,new_category,Description,Reasoning
gen_amex_M01_narrative,general,retrieval_inquiry,"Hello, I hope this message finds you well. I recently noticed a charge on my Amex card that I don't recall authorizing. It was a busy day, and I was juggling a lot, from picking up groceries to attending a friend's birthday party. I might have missed something, but I don't remember agreeing to this charge. Could you please help me understand what happened? Thank you so much for your assistance. (Network: Amex)",Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/M01).
gen_amex_M01_ambiguous,general,retrieval_inquiry,I was reviewing my recent transactions and noticed something unexpected. It seems like there was a mix-up or misunderstanding. Could you look into this for me? I appreciate your help in clarifying this situation. (Network: Amex),Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/M01).
gen_amex_P01_emotional,general,processing_error,WHY IS MY CARD NOT WORKING? FIX THIS NOW! I NEED IT ASAP! (Network: Amex),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Unassigned Card Number') (amex/P01).
gen_amex_P01_narrative,general,processing_error,"Hello there, I hope you're having a wonderful day. I was just trying to buy my morning coffee, and to my surprise, my card was declined. I double-checked the number, and it seems correct. I even tried it at another store, but no luck. Could you please help me understand what's going on? Thank you so much for your assistance! (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Unassigned Card Number') (amex/P01).
gen_amex_P01_ambiguous,general,processing_error,"I was at the checkout, and something unexpected happened. The cashier looked puzzled, and I was left standing there, unsure of what to do next. Could you shed some light on this situation? (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Unassigned Card Number') (amex/P01).
gen_amex_P04_emotional,general,incorrect_amount,WHY was I charged TWICE? FIX THIS NOW! UNACCEPTABLE! (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Charge Processed as Credit') (amex/P04).
gen_amex_P04_narrative,general,incorrect_amount,"Hello, I hope this message finds you well. I recently had a lovely day out with my family, and we decided to treat ourselves to a nice dinner. Imagine my surprise when I checked my statement and noticed something odd. It seems like the amount I paid was processed differently than expected. I was under the impression it would be handled one way, but it appears to have been done another. Could you please help me understand what happened? Thank you so much for your assistance. (Network: Amex)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Charge Processed as Credit') (amex/P04).
gen_amex_P04_ambiguous,general,processing_error,I noticed something unusual on my statement after my recent purchase. It seems like the transaction didn't align with what I anticipated. Could you look into this for me? (Network: Amex),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Charge Processed as Credit') (amex/P04).
gen_amex_P07_emotional,general,processing_error,WHY was my payment LATE? FIX THIS NOW! UNACCEPTABLE! (Network: Amex),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Submission') (amex/P07).
gen_amex_P07_narrative,general,processing_error,"Hello there, I hope this message finds you well. I was just going through my statements while sipping my morning coffee, and I noticed something odd. It seems there was a delay in processing my payment, which is quite unusual. I always make sure to pay on time, so this has left me a bit puzzled. Could you please look into this matter for me? Thank you so much for your assistance! (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Submission') (amex/P07).
gen_amex_P07_ambiguous,general,processing_error,"I noticed something off with my recent statement. It seems like things didn't align as they usually do, and I'm not sure why. Could you help clarify this for me? (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Submission') (amex/P07).
gen_amex_P03_emotional,general,incorrect_amount,WHY WAS I CHARGED TWICE?! FIX THIS NOW! UNACCEPTABLE! (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Credit Processed as Charge') (amex/P03).
gen_amex_P03_narrative,general,credit_not_processed,"Hello there, I hope you're having a wonderful day. I recently had a bit of a mix-up with my credit card. You see, I was out shopping for some groceries, and when I got home, I noticed that a transaction I thought was a refund was actually processed as a charge. It's quite puzzling because I distinctly remember the cashier saying it was all sorted. Could you please help me understand what happened? Thank you so much for your assistance! (Network: Amex)",Refined general → credit_not_processed because the catalog description is credit-related ('Credit Processed as Charge') and the text discusses refund/credit timing (amex/P03).
gen_amex_P03_ambiguous,general,processing_error,I was expecting a different outcome after my last visit to the store. The numbers on my statement don't match what I anticipated. Can we look into this? Thanks. (Network: Amex),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Credit Processed as Charge') (amex/P03).
gen_amex_P05_emotional,general,incorrect_amount,WHY IS MY BILL SO HIGH?! FIX THIS NOW! I DIDN'T SPEND THAT MUCH! (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Charge Amount') (amex/P05).
gen_amex_P05_narrative,general,incorrect_amount,"Hello, I hope this message finds you well. I was reviewing my recent credit card statement over my morning coffee, and I noticed something odd. I remember purchasing a lovely set of kitchenware last week, but the amount charged seems higher than what I recall. I distinctly remember the cashier mentioning a discount, which doesn't seem to have been applied. Could you please look into this for me? Thank you so much for your assistance. (Network: Amex)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Charge Amount') (amex/P05).
gen_amex_P05_ambiguous,general,incorrect_amount,I was going through my statement and something doesn't quite add up. I remember a different figure when I made the purchase. Could you help clarify this for me? (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Incorrect Charge Amount') (amex/P05).
gen_amex_P22_emotional,general,processing_error,WHY IS MY CARD NOT WORKING? FIX THIS NOW! I NEED IT TODAY! (Network: Amex),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Non-Matching Card Number') (amex/P22).
gen_amex_P22_narrative,general,processing_error,"Hello, I hope you're having a good day. I was just trying to buy some groceries when I noticed something odd. My card, which I've been using for years without any issues, suddenly didn't work. I double-checked the number, and it seems correct. I even tried it at another store, but the same thing happened. Could you please help me understand what's going on? Thank you so much for your assistance. (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Non-Matching Card Number') (amex/P22).
gen_amex_P22_ambiguous,general,processing_error,"I was at the checkout, and something unexpected happened. The cashier looked puzzled, and I felt a bit embarrassed. It seemed like there was a mismatch somewhere. Could you look into this for me? (Network: Amex)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Non-Matching Card Number') (amex/P22).
gen_amex_R03_emotional,general,retrieval_inquiry,WHY IS THIS STILL NOT FIXED?! I NEED MY MONEY BACK NOW! THIS IS UNACCEPTABLE! (Network: Amex),Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R03).
gen_amex_R03_narrative,general,retrieval_inquiry,"Hello there, I hope this message finds you well. I recently had a rather busy day, juggling work and family commitments, and amidst all that, I noticed a charge on my Amex card that I had previously raised a concern about. I was under the impression that this matter was being handled, but it seems there hasn't been any resolution yet. Could you kindly look into this for me? Thank you so much for your assistance. (Network: Amex)",Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R03).
gen_amex_R03_ambiguous,general,retrieval_inquiry,"I thought we had sorted out that thing from last month, but it seems like there's still something hanging. Could you check on that for me? Thanks. (Network: Amex)",Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R03).
gen_amex_P23_emotional,general,incorrect_amount,WHY IS MY BILL SO HIGH? FIX THIS NOW! I DIDN'T SPEND THAT MUCH! (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Currency Discrepancy') (amex/P23).
gen_amex_P23_narrative,general,incorrect_amount,"Hello there, I hope you're having a wonderful day. I recently returned from a lovely trip to Europe, where I enjoyed some delightful meals and sightseeing. However, upon reviewing my credit card statement, I noticed something peculiar. The amounts charged seem higher than what I recall spending. I remember paying for a dinner that was supposed to be 50 euros, but it appears as a much larger amount in dollars. Could you please help me understand this discrepancy? Thank you so much for your assistance. (Network: Amex)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Currency Discrepancy') (amex/P23).
gen_amex_P23_ambiguous,general,incorrect_amount,I was reviewing my recent transactions and noticed something odd. The numbers don't quite match up with what I expected. It's like the amounts have changed since I last checked. Could you look into this for me? (Network: Amex),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Currency Discrepancy') (amex/P23).
gen_amex_R13_emotional,general,retrieval_inquiry,WHY NO RESPONSE? FIX THIS NOW! I NEED MY MONEY BACK! (Network: Amex),Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R13).
gen_amex_R13_narrative,general,retrieval_inquiry,"Hello there, I hope this message finds you well. I recently had a rather busy day, juggling work and family commitments, and amidst all that, I noticed a charge on my Amex card that I don't recall authorizing. I tried reaching out to the merchant, but it seems like my emails are going into a void. It's quite puzzling, and I would appreciate any guidance you can provide on how to resolve this matter. Thank you for your assistance. (Network: Amex)",Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R13).
gen_amex_R13_ambiguous,general,retrieval_inquiry,"I reached out a while back about something on my statement. It's been quiet on the other end, and I'm left wondering if there's a way to move forward. Any insights? (Network: Amex)",Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/R13).
gen_discover_AT_emotional,general,authorization,WHY was my card charged without my OK? FIX THIS NOW! (Network: Discover),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (discover/AT).
gen_discover_AT_narrative,general,authorization,"Hello there, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There was a charge that I don't recall authorizing. It's quite puzzling because I usually keep track of my expenses meticulously. Could you please help me understand what happened here? Thank you so much for your assistance. (Network: Discover)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (discover/AT).
gen_discover_AT_ambiguous,general,authorization,I noticed something unusual on my statement. It seems like there was a mix-up or misunderstanding with a recent transaction. Could you look into it and clarify what might have gone wrong? (Network: Discover),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (discover/AT).
gen_discover_CD_narrative,general,credit_not_processed,"Hello Discover Team,

I hope this message finds you well. I recently had a rather busy day, running errands and catching up with an old friend over coffee. It was a lovely afternoon, but when I got home and checked my credit card statement, I noticed something odd. There seems to be a discrepancy with a charge that doesn't match what I remember spending. I believe it might have been posted incorrectly. Could you please look into this for me? I appreciate your help in resolving this matter.

Thank you and have a great day! (Network: Discover)",Refined general → credit_not_processed because the catalog description is credit-related ('Credit/Debit Posted Incorrectly') and the text discusses refund/credit timing (discover/CD).
gen_discover_EX_emotional,general,processing_error,WHY was my card DECLINED? FIX THIS NOW! I NEED IT! (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Expired Card') (discover/EX).
gen_discover_EX_narrative,general,processing_error,"Hello, I hope this message finds you well. I was having a lovely day, enjoying my morning coffee, when I decided to make a purchase online. To my surprise, my card was declined. I checked my account, and everything seemed fine. I don't understand why this happened, and it's quite inconvenient. Could you please look into this for me? Thank you so much for your assistance. (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Expired Card') (discover/EX).
gen_discover_EX_ambiguous,general,processing_error,"I tried using my card today, but it seems like it's not cooperating. I thought everything was in order, but it looks like something's off. Could you help me figure out what's going on? (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Expired Card') (discover/EX).
gen_discover_IN_emotional,general,processing_error,WHY IS MY CARD NOT WORKING?! FIX THIS NOW! I NEED IT ASAP! (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Invalid Card Number') (discover/IN).
gen_discover_IN_narrative,general,processing_error,"Hi there, I hope you're having a good day. I was trying to buy some groceries yesterday, and to my surprise, my card was declined. I double-checked the number, and it seemed correct. I even tried it again today at a different store, but the same thing happened. I'm not sure what's going on, but it's quite inconvenient. Could you please help me figure this out? Thank you so much! (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Invalid Card Number') (discover/IN).
gen_discover_IN_ambiguous,general,processing_error,"I was at the checkout, and something unexpected happened. The cashier looked puzzled, and I had to leave without my items. Can you help clarify this situation? (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Invalid Card Number') (discover/IN).
gen_discover_IC_emotional,general,processing_error,"FIX THIS NOW! My card number is unreadable, and I can't use it! UNACCEPTABLE! (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Illegible Card Number') (discover/IC).
gen_discover_IC_narrative,general,processing_error,"Hello Discover, I hope this message finds you well. I had quite a day today, starting with a lovely breakfast at my favorite café. However, when I tried to use my card, the cashier couldn't read the numbers on it. It was quite embarrassing, and I had to use another payment method. I'm not sure what happened, but I would appreciate your help in resolving this issue. Thank you for your assistance! (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Illegible Card Number') (discover/IC).
gen_discover_IC_ambiguous,general,processing_error,"I was at the store today, and something unexpected happened with my card. It seems like the details weren't clear enough for the transaction. Could you look into this for me? (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Illegible Card Number') (discover/IC).
gen_discover_LP_emotional,general,incorrect_amount,WHY was I charged so late? FIX THIS NOW! UNACCEPTABLE! (Network: Discover),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Late Presentment') (discover/LP).
gen_discover_LP_narrative,general,processing_error,"Hello, I hope this message finds you well. I recently noticed a charge on my Discover card that seemed to have been processed much later than expected. It was quite a surprise, especially since I had a busy day running errands and didn't have time to check my statements until now. I would appreciate it if you could look into this matter for me. Thank you for your assistance. (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Presentment') (discover/LP).
gen_discover_LP_ambiguous,general,processing_error,I noticed something odd on my statement. It seems like things aren't lining up with when I expected them to. Could you help clarify this for me? (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Late Presentment') (discover/LP).
gen_discover_NA_emotional,general,incorrect_amount,WHY was I charged? I NEVER approved this! FIX IT NOW! (Network: Discover),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('No Authorization') (discover/NA).
gen_discover_NA_narrative,general,processing_error,"Hello, I hope this message finds you well. I recently noticed a charge on my Discover card that I don't recall authorizing. It was a busy day, and I was juggling a lot of tasks, including picking up groceries and attending a meeting. I might have missed something, but I don't remember agreeing to this transaction. Could you please help me understand what happened? Thank you for your assistance. (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('No Authorization') (discover/NA).
gen_discover_NA_ambiguous,general,processing_error,I noticed something odd on my statement. It seems like there was a mix-up or misunderstanding with a recent transaction. Could you look into it for me? (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('No Authorization') (discover/NA).
gen_discover_NC_emotional,general,processing_error,WHY is there a charge I DIDN'T make? FIX THIS NOW! (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Not Classified') (discover/NC).
gen_discover_NC_narrative,general,processing_error,"Hello, I hope this message finds you well. I recently noticed a charge on my Discover card that I don't recall authorizing. It was a busy day, and I was juggling a lot of errands, so I might have missed something. I was at the grocery store, then picked up my kids from school, and later went to a yoga class. But I can't seem to place this particular transaction. Could you please help me understand what this charge is for? Thank you for your assistance. (Network: Discover)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Not Classified') (discover/NC).
gen_discover_NC_ambiguous,general,processing_error,I was reviewing my statement and noticed something that doesn't quite add up. It's like finding an extra sock after doing laundry. Could you help me sort this out? (Network: Discover),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Not Classified') (discover/NC).
gen_mastercard_4807_emotional,general,authorization,WHY is my card blocked?! FIX THIS NOW! I NEED IT! (Network: Mastercard),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4807).
gen_mastercard_4807_narrative,general,authorization,"Hello there, I hope you're having a good day. I was just about to buy my morning coffee when I realized my card wasn't working. It was quite embarrassing, especially since I had already chatted with the barista about the weather. I checked my account, and everything seemed fine, so I'm not sure why this happened. Could you please help me understand what's going on? Thank you! (Network: Mastercard)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4807).
gen_mastercard_4807_ambiguous,general,authorization,"I was at the store, and something unexpected happened with my card. It was quite a surprise, and I'm not sure what to do next. Could you look into it? (Network: Mastercard)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4807).
gen_mastercard_4812_emotional,general,authorization,WHY is my card NOT working?! FIX THIS NOW! I NEED ANSWERS! (Network: Mastercard),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4812).
gen_mastercard_4812_narrative,general,authorization,"Hello there, I hope this message finds you well. I had quite a busy day today, running errands and trying to catch up on some work. However, I encountered a bit of a hiccup when I tried to use my Mastercard. It seems there was an issue with my account number not being recognized. I was quite surprised as I've been using this card for a while now without any problems. Could you please look into this for me? Thank you so much for your assistance! (Network: Mastercard)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4812).
gen_mastercard_4812_ambiguous,general,authorization,"I tried to make a purchase today, but something seemed off. The transaction didn't go through, and I'm not sure why. Could you check if everything is in order on your end? (Network: Mastercard)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4812).
gen_mastercard_4808_emotional,general,authorization,WHY was I charged TWICE?! FIX THIS NOW! UNACCEPTABLE! (Network: Mastercard),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4808).
gen_mastercard_4808_narrative,general,authorization,"Hello there, I hope this message finds you well. I recently had a rather busy day, running errands and catching up with an old friend over coffee. It was a lovely afternoon, but when I got home and checked my credit card statement, I noticed something odd. There was a charge that seemed to have been authorized twice for the same transaction. I'm a bit puzzled about how this happened, as I only made one purchase. Could you please help me understand and resolve this? Thank you so much for your assistance. (Network: Mastercard)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4808).
gen_mastercard_4808_ambiguous,general,authorization,I noticed something unusual on my statement after a recent shopping trip. It seems like my card was a bit too eager to participate. Could you help clarify this for me? (Network: Mastercard),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (mastercard/4808).
gen_mastercard_4854_emotional,general,incorrect_amount,WHY was I charged $200?! FIX THIS NOW! I DIDN'T AUTHORIZE IT! (Network: Mastercard),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Cardholder Dispute - Not Elsewhere Classified') (mastercard/4854).
gen_mastercard_4854_narrative,general,incorrect_amount,"Hello, I hope this message finds you well. I recently noticed a charge on my Mastercard that I don't recognize. It was a busy day, and I was juggling a lot, from picking up groceries to attending a friend's birthday party. I remember checking my account in the evening and seeing this unexpected charge. I don't recall making any purchases that would match this amount. Could you please help me understand what happened? Thank you for your assistance. (Network: Mastercard)",Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Cardholder Dispute - Not Elsewhere Classified') (mastercard/4854).
gen_mastercard_4854_ambiguous,general,processing_error,I noticed something odd on my statement. It doesn't seem to fit with my usual activities. Could you look into it? (Network: Mastercard),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Cardholder Dispute - Not Elsewhere Classified') (mastercard/4854).
gen_mastercard_4857_emotional,general,incorrect_amount,WHY was I charged for a call I NEVER made?! FIX THIS NOW! (Network: Mastercard),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Card-Activated Telephone Transaction') (mastercard/4857).
gen_mastercard_4857_narrative,general,processing_error,"Hello there, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There's a charge for a phone call that I don't recall making. It's quite puzzling because I usually keep track of my calls, especially those that might incur charges. Could you please help me understand this? Thank you so much for your assistance! (Network: Mastercard)",Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Card-Activated Telephone Transaction') (mastercard/4857).
gen_mastercard_4857_ambiguous,general,processing_error,I noticed something unusual on my statement related to a service I didn't expect. Could you clarify this for me? (Network: Mastercard),Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Card-Activated Telephone Transaction') (mastercard/4857).
gen_mastercard_4859_emotional,general,incorrect_amount,WHY was I charged for a hotel I NEVER stayed at?! FIX THIS NOW! (Network: Mastercard),"Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Addendum, No-show, or ATM Dispute') (mastercard/4859)."
gen_mastercard_4859_narrative,general,processing_error,"Hello there, I hope you're having a lovely day. I recently had a rather peculiar experience. You see, I was planning a weekend getaway to the mountains, but due to unforeseen circumstances, I had to cancel my trip. Imagine my surprise when I noticed a charge from the hotel on my statement! I distinctly remember canceling the reservation well in advance. Could you please help me sort this out? Thank you so much for your assistance! (Network: Mastercard)","Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Addendum, No-show, or ATM Dispute') (mastercard/4859)."
gen_mastercard_4859_ambiguous,general,processing_error,I noticed something odd on my statement after my trip plans changed. Could you check the recent charges for me? (Network: Mastercard),"Refined general → processing_error using reason_codes_catalog reason_code_group=processing_errors ('Addendum, No-show, or ATM Dispute') (mastercard/4859)."
gen_openapi_gateway_response_QUOTA_EXCEEDED_emotional,,processing_error,WHY IS MY CARD BLOCKED?! FIX THIS NOW! I DIDN'T DO ANYTHING WRONG! (Network: Openapi_Gateway_Response),Filled empty category as processing_error because catalog mapping is unmapped/other and the text indicates a system/processing issue (openapi_gateway_response/QUOTA_EXCEEDED).
gen_openapi_gateway_response_QUOTA_EXCEEDED_narrative,,processing_error,"Hello there, I hope you're having a wonderful day. I was just going about my usual routine, you know, grabbing my morning coffee and planning my errands when I suddenly found myself unable to use my credit card. It was quite embarrassing at the checkout line. I checked my account and everything seemed fine, so I'm really puzzled as to why this happened. Could you please help me understand what's going on? Thank you so much for your assistance. (Network: Openapi_Gateway_Response)",Filled empty category as processing_error because catalog mapping is unmapped/other and the text indicates a system/processing issue (openapi_gateway_response/QUOTA_EXCEEDED).
gen_openapi_gateway_response_QUOTA_EXCEEDED_ambiguous,,processing_error,"I was trying to make a purchase, but it seems like my usual access isn't available. Could you look into this? It was unexpected, and I'm not sure what changed. (Network: Openapi_Gateway_Response)",Filled empty category as processing_error because catalog mapping is unmapped/other and the text indicates a system/processing issue (openapi_gateway_response/QUOTA_EXCEEDED).
gen_visa_11.1_emotional,general,authorization,WHY is my card blocked?! FIX THIS NOW! I NEED IT! (Network: Visa),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.1).
gen_visa_11.1_narrative,general,authorization,"Hello there, I hope you're having a good day. I was just trying to buy some groceries when my card was unexpectedly declined. It was quite embarrassing, especially since I had a long line of people behind me. I checked my account, and everything seemed fine. Could you please help me understand why this happened? Thank you so much for your assistance. (Network: Visa)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.1).
gen_visa_11.1_ambiguous,general,authorization,"I was at the store, and something unexpected happened with my card. It was quite a surprise, and I'm not sure what to do next. Can you look into it? (Network: Visa)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.1).
gen_visa_11.2_emotional,general,authorization,WHY WAS MY CARD DECLINED?! FIX THIS NOW! I NEED ANSWERS! (Network: Visa),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.2).
gen_visa_11.2_narrative,general,authorization,"Hello there, I hope you're having a wonderful day. I was just trying to buy some groceries yesterday, and to my surprise, my card was declined at the checkout. It was quite embarrassing, especially since I had a long line of people behind me. I checked my account, and everything seemed fine. Could you please help me understand what went wrong? Thank you so much for your assistance. (Network: Visa)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.2).
gen_visa_11.2_ambiguous,general,authorization,"I was at the store, and something unexpected happened with my card. It was quite inconvenient, and I had to leave without my items. Could you look into this for me? (Network: Visa)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.2).
gen_visa_11.3_emotional,general,authorization,WHY was my card charged without my OK? FIX THIS NOW! (Network: Visa),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.3).
gen_visa_11.3_narrative,general,authorization,"Hello there, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There was a charge that I don't recall authorizing. It's quite puzzling because I usually keep track of my expenses meticulously. Could you please help me understand how this happened? Thank you so much for your assistance! (Network: Visa)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.3).
gen_visa_11.3_ambiguous,general,authorization,I noticed something strange on my statement. It seems like there was a mix-up or oversight. Could you look into it? (Network: Visa),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (visa/11.3).
gen_visa_12.1_emotional,general,incorrect_amount,WHY was I charged NOW? FIX THIS IMMEDIATELY! UNACCEPTABLE! (Network: Visa),Refined general → incorrect_amount because the catalog description indicates an amount/currency discrepancy ('Late Presentment') (visa/12.1).
