Trace_ID,User_Query,Expected_Reason,Predicted_Reason,Expected_Network,Predicted_Network,Confidence,Reasoning,Dimension_Tuple,Reason_Match,Network_Match
SYN103,I’m dealing with a problem with an order I placed months ago using my Visa. The merchandise hasn't been delivered. Can you help me figure this out?,product_not_received,13.1,visa,visa,0.95,"The dispute involves a merchandise delivery issue, specifically stating that the order hasn't been delivered. This aligns with the Visa Reason Code 13.1 for 'Merchandise Not Received'. The payment network is identified as Visa since it is explicitly mentioned in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN076,"I need help regarding a transaction made with my Visa card for services; however, I've noticed it's unrecognized on my statement, and it's a high amount.",unrecognized,10.4,visa,visa,0.95,"The dispute involves an unrecognized transaction on a Visa card, which indicates a potential unauthorized charge. The specific mention of 'unrecognized' aligns with the fraud reason code 10.4, suggesting that the cardholder did not authorize this transaction.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN156,credit not gone through on discover! High amount for merchandise,credit_not_processed,13.6,discover,discover,0.9,"The dispute mentions a credit not going through, which aligns with the reason code for 'Credit Not Processed' (13.6). The payment network is explicitly stated as 'discover', and the nature of the complaint does not indicate fraud.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN129,"Hi, I’ve noticed that my recent Amex transaction for some merchandise didn’t get processed properly. What steps can I take to resolve this?",credit_not_processed,13.1,amex,amex,0.85,"The dispute involves an Amex transaction where the customer indicates that the transaction for merchandise didn't get processed properly, suggesting that the merchandise was not received. This aligns with the reason code for 'Merchandise Not Received' (13.1). The network is identified as 'amex' based on the explicit mention in the description.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN209,"Hi, I found a big charge on my Discover card for a service I don’t recall using and I'd like to dispute it. It’s a large amount and I’m really worried about this unrecognized payment. Can you help me understand the process and what info you need from me to resolve this? Thanks!",unrecognized,10.4,discover,discover,0.95,"The dispute involves an unrecognized charge on a Discover card, which indicates a potential unauthorized transaction. The reason code 10.4 is appropriate as the customer states they do not recall using the service, suggesting it may be fraudulent.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN182,merchandise duplicate transaction with Mastercard,duplicate,12.6,mastercard,mastercard,0.95,"The dispute involves a duplicate transaction, which is specifically categorized under reason code 12.6 for Mastercard. The network is explicitly mentioned as Mastercard in the description.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN051,"Hello, I'm reaching out regarding a recent low amount transaction made through Visa for some services that appears to be fraudulent. Can you assist me with resolving this issue?",fraudulent,10.4,visa,visa,0.95,"The dispute mentions a 'recent low amount transaction' made through Visa that appears to be fraudulent, indicating an unauthorized charge. Therefore, the appropriate reason code is 10.4 for fraud (unauthorized). The network is identified as Visa based on the explicit mention.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN024,few days ago I used my mastercard for a purchase and the credit didn't go through,credit_not_processed,13.6,mastercard,mastercard,0.9,The dispute mentions that a credit didn't go through after a purchase was made with a Mastercard. This aligns with the reason code for 'Credit Not Processed' (13.6) as the customer is indicating that they expected a credit (refund) that has not been received.,"{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN077,"Can you assist me? I see a high charge from a service on my Visa that I don't recognize. It’s quite a large amount and I need this resolved formally, please.",unrecognized,10.4,visa,visa,0.95,"The dispute mentions a high charge from a service on the user's Visa card that they do not recognize, indicating an unauthorized transaction. Therefore, the appropriate reason code is 10.4 for fraud. The network is identified as Visa since it is explicitly mentioned in the description.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN104,"I just realized I never got the items I bought a while back with my visa. It was for some merch, and I'm unsure what to do next. Can you assist?",product_not_received,13.1,visa,visa,0.95,"The dispute mentions that the items purchased were never received, which directly corresponds to the reason code for merchandise not received (13.1). The payment network is identified as Visa since it is explicitly mentioned in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN130,I’m facing an issue with a recent purchase I made with my Amex card for merchandise. The payment doesn't seem to have been processed. Could someone help me sort this out?,credit_not_processed,13.1,amex,amex,0.9,"The dispute involves a recent purchase made with an Amex card where the payment does not seem to have been processed. This indicates that the merchandise was not received, which aligns with the reason code 13.1 for 'Merchandise Not Received'. The network is identified as 'amex' based on the explicit mention of the card type.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN157,merchandise purchase on discover wasn't processed?? confused!,credit_not_processed,10.4,discover,discover,0.85,"The dispute mentions that a merchandise purchase on Discover wasn't processed, indicating confusion about an unauthorized or unrecognized transaction. This aligns with the fraud reason code 10.4, as the customer seems to imply they did not authorize the charge.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN210,"Attention Customer Support, I am contacting you regarding a high amount transaction on my Discover card which I do not recognize as a legitimate service. Given the significance of this charge, I request your detailed assistance in disputing this transaction. Your urgent attention to this matter is greatly appreciated.",unrecognized,10.4,discover,discover,0.95,"The dispute involves a high amount transaction on a Discover card that the customer does not recognize, indicating it is likely unauthorized. Therefore, the appropriate reason code is 10.4 for fraud (unauthorized transaction). The network is identified as Discover based on the card mentioned.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN183,Help! I got charged twice for a recent purchase?,duplicate,12.6,mastercard,visa,0.95,"The dispute involves being charged twice for a recent purchase, which directly corresponds to the reason code for duplicate transactions (12.6). Since no specific payment network was mentioned, I defaulted to Visa.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,0
SYN025,"my mastercard payment for merchandise hasn’t been credited yet, what's up with that?",credit_not_processed,13.6,mastercard,mastercard,0.9,"The dispute mentions a Mastercard payment for merchandise that hasn't been credited, indicating a potential issue with a refund or credit not being processed. The most appropriate reason code is 13.6, which relates to a refund promised but not received. The network is identified as Mastercard based on the explicit mention in the dispute description.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN052,"Hi there, I have an issue with a low amount payment processed on my Visa card for services that I did not authorize. I'm concerned it might be fraud. Could you help clarify this situation?",fraudulent,10.4,visa,visa,0.95,"The dispute involves a payment processed on a Visa card that the customer did not authorize, indicating potential fraud. The specific mention of 'services that I did not authorize' aligns with the Visa reason code for unauthorized transactions (10.4). The confidence score is high due to the clear indication of fraud.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN078,"Hi, I would like to report a dispute. There’s a high amount transaction from a service on my Visa that I did not authorize. Can you clarify why it’s showing as unrecognized?",unrecognized,10.4,visa,visa,0.95,"The dispute involves an unauthorized transaction on a Visa card, which aligns with the fraud reason code 10.4. The customer explicitly states they did not authorize the transaction, indicating a potential fraud case.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN105,Can someone assist me? I have an issue regarding an order made with my Visa—it's been quite some time and the merchandise still hasn't arrived. What should I do?,product_not_received,13.1,visa,visa,0.95,"The dispute mentions an issue with an order made with a Visa card and specifically states that the merchandise has not arrived, which aligns with the reason code for 'Merchandise Not Received' (13.1). The network is identified as Visa based on the explicit mention in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN131,"Hello, I'm writing because my subscription with the services merchant was canceled, but I was charged on my Discover card for a low amount. Can you explain why this happened?",subscription_canceled,13.2,discover,discover,0.95,"The payment network is Discover as explicitly mentioned in the dispute description. The reason code 13.2 is appropriate because the customer states that their subscription was canceled but they were still charged, indicating a recurring billing issue after cancellation.","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN184,"Need support, my mastercard shows a duplicate from a recent transaction.",duplicate,12.6,mastercard,mastercard,0.95,"The dispute mentions a duplicate transaction specifically related to a Mastercard, which directly corresponds to the reason code for duplicate transactions (12.6). The high confidence score reflects the clear indication of a billing error rather than fraud.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN158,Why didnt my high amount credit show up? Discover issue,credit_not_processed,13.6,discover,discover,0.85,"The dispute mentions a 'high amount credit' that did not show up, indicating a potential issue with a credit that was expected but not received. This aligns with the reason code for 'Credit Not Processed' (13.6). The payment network is identified as 'Discover' based on the explicit mention in the dispute description.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN211,"Hi, I’m reaching out because I haven’t received a service I paid for with my visa a while back. Can you help me figure out what happened?",product_not_received,13.1,visa,visa,0.95,"The dispute mentions that the customer has not received a service they paid for, which aligns with the reason code for 'Merchandise Not Received' (13.1). The payment network is identified as 'visa' since it is explicitly mentioned in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN026,"I'm really frustrated because I ordered some merchandise that turned out to be unacceptable. I used my Amex card for this low amount transaction, and it's just not what I expected. Can you help me resolve this dispute?",product_unacceptable,13.3,amex,amex,0.95,"The payment network is identified as 'Amex' based on the mention of the card used. The reason code '13.3' is selected because the customer states that the merchandise was 'unacceptable', indicating a quality issue or that the item was not as described.","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN053,"I need assistance with a transaction made using Visa for services. The amount was low, but I suspect it was fraudulent. What steps should I take to dispute this? Thanks!",fraudulent,10.4,visa,visa,0.95,"The dispute mentions suspicion of fraud regarding a transaction made using Visa. The description indicates that the user did not authorize the transaction, which aligns with the Visa reason code for unauthorized transactions (10.4). The high confidence score reflects the clear indication of potential fraud.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN106,"I recently made a purchase for some merchandise using my Discover card, but I haven't received the product yet. Can you help me figure out what's going on?",product_not_received,13.1,discover,discover,0.95,"The dispute involves a claim of merchandise not being received, which directly corresponds to the reason code 13.1 for 'Merchandise Not Received'. The payment network is identified as 'Discover' based on the card used for the transaction.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN079,"I have a problem with a significant charge on my Visa card for services. It appears unrecognized, and I would like to handle this formally. Please advise on how to proceed.",unrecognized,10.4,visa,visa,0.95,"The dispute involves an unrecognized charge on a Visa card, which aligns with the fraud reason code 10.4, indicating an unauthorized transaction. The explicit mention of 'Visa' confirms the payment network.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN132,"I think there’s an issue with my recent payment through Discover. I canceled my subscription for the services, yet I still see a charge for a small amount. Can you help me resolve this?",subscription_canceled,13.2,discover,discover,0.95,"The dispute involves a charge after the user canceled their subscription, which aligns with the reason code for subscription cancellation (13.2). The payment network is Discover, as explicitly mentioned in the dispute description.","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN159,dispute credit not processed for big ticket item! Help!,credit_not_processed,13.6,discover,visa,0.9,"The dispute mentions that a credit was not processed for a big ticket item, which aligns with the reason code for 'Credit Not Processed' (13.6). No specific payment network was mentioned, so I defaulted to 'visa'.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,0
SYN185,Why was my Mastercard charged 2x for the same item?,duplicate,12.6,mastercard,mastercard,0.95,"The dispute mentions a Mastercard charge for the same item being processed twice, which indicates a duplicate transaction. The most appropriate reason code for this situation is 12.6, as it directly relates to double billing. The network is identified as Mastercard based on the explicit mention in the dispute description.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN212,"I made an old transaction for a service using my visa, but I never received it. What can I do about this? Thanks!",product_not_received,13.1,visa,visa,0.95,"The dispute mentions that the user made a transaction for a service but never received it, which aligns with the reason code for 'Merchandise Not Received' (13.1). The payment network is identified as 'visa' since it is explicitly mentioned in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN027,"So, I bought a low-cost item with my Amex, and it arrived in an unacceptable condition. I’m SUPER frustrated with this purchase. I need to dispute the charge for this merchandise. What can I do?",product_unacceptable,13.3,amex,amex,0.95,"The payment network is identified as 'Amex' based on the explicit mention in the dispute description. The reason code '13.3' is selected because the customer states that the item arrived in an unacceptable condition, indicating a quality issue with the merchandise.","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN054,"Hey, I believe I've been a victim of fraud involving a low amount service charge on my Visa card. Can you guide me on how to report this?",fraudulent,10.4,visa,visa,0.95,"The dispute involves a claim of fraud related to a service charge on a Visa card, indicating an unauthorized transaction. The specific mention of 'fraud' aligns with the Visa reason code 10.4, which is used for unauthorized charges.","{""DisputeReason"":""fraudulent"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN080,There’s an issue with my Visa statement. A large payment for some services is marked as unrecognized. Can you help me address this dispute in a formal manner?,unrecognized,10.4,visa,visa,0.95,"The dispute involves an unrecognized charge on a Visa statement, which indicates a potential unauthorized transaction. Therefore, the appropriate reason code is 10.4 for fraud. The mention of 'Visa' confirms the payment network.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN107,"Hey, I just wanted to check in about my recent transaction with a merchant. I paid with Discover for some items, but they haven't arrived. What can I do?",product_not_received,13.1,discover,discover,0.95,"The payment network is Discover as explicitly mentioned in the dispute description. The reason code 13.1 is appropriate because the customer states that they have not received the items they paid for, which aligns with the 'Merchandise Not Received' category.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN133,"Look, I no longer need the services I subscribed to and I canceled it, but I just found out that a small charge went through on my Discover card. Why is that? Really need to sort this out!",subscription_canceled,13.2,discover,discover,0.95,"The dispute involves a charge on the customer's Discover card after they canceled their subscription, which aligns with the reason code for subscription cancellation (13.2). The network is identified as Discover since it is explicitly mentioned in the dispute description.","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN186,"I made a payment with my Amex for some services recently, but the product/service was totally unacceptable. Can you help me resolve this?",product_unacceptable,13.3,amex,amex,0.95,"The payment was made with an Amex card, as explicitly mentioned in the dispute description. The issue described relates to the product/service being unacceptable, which aligns with the reason code for 'Not as Described/Defective' (13.3). The confidence score is high due to the clear indication of dissatisfaction with the service provided.","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN160,"hey, I thought my merchandise bought with discover would go thru but it didn’t, what's goin on?",credit_not_processed,13.1,discover,discover,0.85,"The dispute mentions that the merchandise bought with Discover did not go through, indicating that the customer did not receive the item they expected. This aligns with the reason code for 'Merchandise Not Received' (13.1). The network is explicitly stated as 'Discover', so it was used for classification.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN001,"I see a duplicate charge on my visa for merchandise, old transaction.",duplicate,12.6,visa,visa,0.95,"The dispute mentions a duplicate charge on a Visa card, which directly corresponds to the reason code for duplicate transactions (12.6). The description indicates a billing error rather than fraud, as the customer recognizes the charge but is disputing its duplication.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN028,"Hey, I have a problem with a recent Amex payment for some merchandise. The item is totally unacceptable and I’m really upset about it, especially since it was such a low amount. Can you guide me on how to fix this?",product_unacceptable,13.3,amex,amex,0.95,"The payment network is identified as 'Amex' based on the explicit mention in the dispute description. The reason code '13.3' is selected because the customer states that the merchandise is 'totally unacceptable', indicating a quality issue with the item received.","{""DisputeReason"":""product_unacceptable"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN213,"Hello, I’m just checking in about a service I bought a while ago with my visa. I haven’t seen anything come through, and I’m not sure how to resolve this issue.",product_not_received,13.1,visa,visa,0.85,"The dispute mentions a service purchased with a Visa card that has not been received, indicating a potential issue with merchandise not being delivered. Therefore, the most appropriate reason code is 13.1 for 'Merchandise Not Received'. The network is identified as Visa since it is explicitly mentioned in the description.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""services"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
